domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
5,TREE,5,4,-0.46,20100101125959,NA
5,TREE,5,5,-0.56,20100101125959,NA
5,TREE,5,6,-0.86,20100101125959,NA
5,TREE,5,7,-1.36,20100101125959,NA
5,TREE,5,8,-1.96,20100101125959,NA
5,UNDE,1,1,-0.07,20100101125959,NA
5,UNDE,1,2,-0.17,20100101125959,NA
5,UNDE,1,3,-0.27,20100101125959,NA
5,UNDE,1,4,-0.37,20100101125959,NA
5,UNDE,1,5,-0.57,20100101125959,NA
5,UNDE,1,6,-0.87,20100101125959,NA
5,UNDE,1,7,-1.27,20100101125959,NA
5,UNDE,1,8,-1.97,20100101125959,NA
5,UNDE,2,1,-0.06,20100101125959,NA
5,UNDE,2,2,-0.16,20100101125959,NA
5,UNDE,2,3,-0.26,20100101125959,NA
5,UNDE,2,4,-0.36,20100101125959,NA
5,UNDE,2,5,-0.56,20100101125959,NA
5,UNDE,2,6,-0.86,20100101125959,NA
5,UNDE,2,7,-1.26,20100101125959,NA
5,UNDE,2,8,-1.96,20100101125959,NA
5,UNDE,3,1,-0.07,20100101125959,NA
5,UNDE,3,2,-0.17,20100101125959,NA
5,UNDE,3,3,-0.27,20100101125959,NA
5,UNDE,3,4,-0.37,20100101125959,NA
5,UNDE,3,5,-0.57,20100101125959,NA
5,UNDE,3,6,-0.87,20100101125959,NA
5,UNDE,3,7,-1.27,20100101125959,NA
5,UNDE,3,8,-1.97,20100101125959,NA
5,UNDE,4,1,-0.07,20100101125959,NA
5,UNDE,4,2,-0.17,20100101125959,NA
5,UNDE,4,3,-0.27,20100101125959,NA
5,UNDE,4,4,-0.37,20100101125959,NA
5,UNDE,4,5,-0.57,20100101125959,NA
5,UNDE,4,6,-0.87,20100101125959,NA
5,UNDE,4,7,-1.27,20100101125959,NA
5,UNDE,4,8,-1.97,20100101125959,NA
5,UNDE,5,1,-0.06,20100101125959,NA
5,UNDE,5,2,-0.16,20100101125959,NA
5,UNDE,5,3,-0.26,20100101125959,NA
5,UNDE,5,4,-0.36,20100101125959,NA
5,UNDE,5,5,-0.56,20100101125959,NA
5,UNDE,5,6,-0.86,20100101125959,NA
5,UNDE,5,7,-1.26,20100101125959,NA
5,UNDE,5,8,-1.96,20100101125959,NA
6,KONA,1,1,-0.053,20100101125959,NA
6,KONA,1,2,-0.153,20100101125959,NA
6,KONA,1,3,-0.253,20100101125959,NA
6,KONA,1,4,-0.453,20100101125959,NA
6,KONA,1,5,-0.753,20100101125959,NA
6,KONA,1,6,-1.053,20100101125959,NA
6,KONA,1,7,-1.353,20100101125959,NA
6,KONA,1,8,-1.953,20100101125959,NA
6,KONA,2,1,-0.06,20100101125959,NA
6,KONA,2,2,-0.16,20100101125959,NA
6,KONA,2,3,-0.26,20100101125959,NA
6,KONA,2,4,-0.46,20100101125959,NA
6,KONA,2,5,-0.76,20100101125959,NA
6,KONA,2,6,-1.06,20100101125959,NA
6,KONA,2,7,-1.36,20100101125959,NA
6,KONA,2,8,-1.96,20100101125959,NA
6,KONA,3,1,-0.065,20100101125959,NA
6,KONA,3,2,-0.165,20100101125959,NA
